INFO 2014-09-01 22:33:12,885 views 29339 140465173731072 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-09-01 22:46:51,985 views 4256 140650104219392 HTTP_HOST: localhost:8000, Period 1 day, Current date: 30.08.2014
INFO 2014-09-01 22:55:57,706 views 8056 140098710652672 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-09-01 22:56:49,116 views 9658 139878304163584 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-09-01 22:58:37,233 views 13137 140201099630336 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-09-01 23:06:24,756 views 25769 140555779036928 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-10-23 12:28:56,354 views 8395 140060963895040 HTTP_HOST: 127.0.0.1:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-11-05 10:42:01,684 views 9164 139727777949440 HTTP_HOST: localhost:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-11-06 11:32:46,963 views 15346 140533426104064 HTTP_HOST: 127.0.0.1:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-11-06 17:31:18,141 views 30289 139695104562944 HTTP_HOST: 127.0.0.1:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-11-06 17:31:48,488 views 30376 140610136565504 HTTP_HOST: 127.0.0.1:8000, Period 1 day, Current date: 01.09.2014
INFO 2014-11-14 15:13:40,357 views 18779 139806738515712 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 15:24:07,696 views 19335 139929881499392 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 15:56:04,240 views 20626 140414896043776 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 15:57:59,512 views 20773 140269570975488 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 15:58:18,222 views 20773 140269320132352 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 16:00:21,181 views 20773 140269554190080 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 16:01:22,966 views 20773 140269320132352 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 16:02:00,855 views 20773 140269570975488 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 16:02:29,553 views 20773 140269554190080 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
INFO 2014-11-14 16:03:35,398 views 20773 140269570975488 HTTP_HOST: 127.0.0.1:8989, Period 1 day, Current date: 14.11.2014
